genbank_accession,gisaid_epi_isl,Originating Lab,Submitting Lab,Author
,EPI_ISL_412970,Washington State Department of Health,Seattle Flu Study,Helen Chu et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417095,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417100,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_422982,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_417159,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417160,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_423014,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_418905,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_418343,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
,EPI_ISL_434536,Hospital San Vicente de Paul,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",Duarte et al
,EPI_ISL_426363,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Guillermo M. Ruiz-Palacios et al (https://dx.doi.org/10.1101/2020.05.27.120402)
,EPI_ISL_452127,CO Department of Public Health and Environment,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_452128,CO Department of Public Health and Environment,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_426482,"Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay","Microbial Genomics Laboratory, Institut Pasteur Montevideo",Cecilia Salazar et al (https://dx.doi.org/10.1101/2020.05.09.086223)
,EPI_ISL_426583,"Microbial Genomics Laboratory, Institut Pasteur Monteivdeo","Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay",Cecilia Salazar et al (https://dx.doi.org/10.1101/2020.05.09.086223)
,EPI_ISL_457779,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_450771,"Minnesota Department of Health, Public Health Laboratory","Minnesota Department of Health, Public Health Laboratory",Matt Plumb et al
,EPI_ISL_450774,"Minnesota Department of Health, Public Health Laboratory","Minnesota Department of Health, Public Health Laboratory",Matt Plumb et al
,EPI_ISL_418864,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_452122,VI-US Virgin Islands Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_434541,Puerto Rico Department of Health,"Centers for Disease Control and Prevention, Dengue Branch",Gilberto A. Santiago et al
,EPI_ISL_457800,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_447900,Lednicky Laboratory at Emerging Pathogens Institute,University of Florida,Lednicky et al
,EPI_ISL_417135,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417096,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417152,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_430232,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_430275,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_427178,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_452124,NC State Laboratory of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_424871,NC State Laboratory of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_424852,DC Public Health Lab/ Dept. of Forensic Sciences,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_417450,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_420628,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_413456,"Seattle Flu Study, University of Washington Medical Center","Seattle Flu Study, University of Washington Medical Center",Chu et al et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_415603,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_424848,"AZ SPHL, Arizona Department of Health Services","Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al C (https://dx.doi.org/10.1101/2020.05.08.20095935)
,EPI_ISL_452129,CO Department of Public Health and Environment,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_416689,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_415626,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_419262,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_424303,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426421,"HI Dept. of Health, State Laboratories Division","Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Anna Uehara et al B
,EPI_ISL_418956,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_418957,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_416460,Seattle Flu Study,Seattle Flu Study,Chu et al et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_417168,Washington State Department of Health,Seattle Flu Study,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_416683,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_416687,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_424267,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_418189,Gundersen Molecular Diagnostics Laboratory,Kabara Cancer Research Institute,Craig S. Richmond et al (https://www.medrxiv.org/content/10.1101/2020.06.08.20125534v1)
,EPI_ISL_422991,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_430251,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_424893,VA-Division of Consolidated Laboratory Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_452134,IL Department of Public Health Chicago Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_419711,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_419263,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_429059,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al
,EPI_ISL_445170,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al
,EPI_ISL_424285,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_434543,Puerto Rico Department of Health,"Centers for Disease Control and Prevention, Dengue Branch",Gilberto A. Santiago et al
,EPI_ISL_416424,Yale Clinical Virology Laboratory,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al A (https://dx.doi.org/10.1016/j.cell.2020.04.021)
,EPI_ISL_428203,Nebraska Public Health Laboratory,UNMC COVID-19 Response Team,UNMC COVID-19 Response Team et al
,EPI_ISL_457836,National Public Health Laboratory,KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi,Githinji G. et al 2020 et al (https://virological.org/t/introduction-and-local-transmission-of-sars-cov-2-cases-in-kenya/497)
,EPI_ISL_416315,"Department of Microbiology, Faculty of Medicine, The Chinese University of Hong Kong, Hong Kong SAR, China","Department of Microbiology, Faculty of Medicine, Chinese University of Hong Kong, Hong Kong SAR, China",Zigui Chen et al
MT093571,EPI_ISL_411951,,"Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden",Bengner et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,EPI_ISL_413018,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University","Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University",Changmin Kang et al
,EPI_ISL_417177,"Department of Pathology, Princess Margaret Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
MT007544,EPI_ISL_406844,Monash Medical Centre,"Collaboration between the University of Melbourne at The Peter Doherty Institute for Infection and Immunity, and the Victorian Infectious Disease Reference Laboratory",Caly et al (https://dx.doi.org/10.5694/mja2.50569)
,EPI_ISL_419225,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
,EPI_ISL_417182,"Department of Pathology, United Christian Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
,EPI_ISL_447919,,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al A
,EPI_ISL_437617,,Faculty of Medicine,Rodpan et al
,EPI_ISL_420455,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
,EPI_ISL_419250,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
,EPI_ISL_419245,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
,EPI_ISL_450405,,School of Public Health,Sit et al A
,EPI_ISL_419215,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
,EPI_ISL_417195,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
MN994468,EPI_ISL_406036,California Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Anna Uehara et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
,EPI_ISL_437622,,Faculty of Medicine,Rodpan et al
,EPI_ISL_416410,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",Caly L. et al (https://dx.doi.org/10.1101/2020.05.12.20099929)
,EPI_ISL_406597,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al A (https://dx.doi.org/10.1101/2020.04.24.059576)
,EPI_ISL_411219,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon",Olivier Terrier et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,EPI_ISL_406596,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al A (https://dx.doi.org/10.1101/2020.04.24.059576)
,EPI_ISL_447915,,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al A
,EPI_ISL_410713,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Octavia S et al
,EPI_ISL_457987,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
,EPI_ISL_454985,Wuhan Chain Medical Labs (CMLabs),State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_416411,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",Caly L. et al (https://dx.doi.org/10.1101/2020.05.12.20099929)
,EPI_ISL_437624,,Faculty of Medicine,Rodpan et al
,EPI_ISL_435134,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_454964,Wuhan Chain Medical Labs (CMLabs),State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
LC522972,EPI_ISL_408669,"Dept. of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al B
,EPI_ISL_418799,Mater Pathology,Public Health Virology Laboratory,Bixing Huang et al
,EPI_ISL_435138,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_413522,Indian Council of Medical Research - National Institute of Virology,"National Influenza Center, Indian Council of Medical Research - National Institute of Virology",Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
MT039887,EPI_ISL_408670,Wisconsin Department of Health Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al B (https://dx.doi.org/10.1101/2020.03.09.20032896)
